feature,description,source,formula,pre_match_available,potential_leakage,reason,category
f5_away_goal_var,Engineered signal for f5_away_goal_var,Chronological Match Buffer / Adaptive State,Transformed f5_away_goal_var function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_goal_var_diff,Engineered signal for f5_goal_var_diff,Chronological Match Buffer / Adaptive State,Transformed f5_goal_var_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_home_clean_sheet_rate,Engineered signal for f5_home_clean_sheet_rate,Chronological Match Buffer / Adaptive State,Transformed f5_home_clean_sheet_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_away_clean_sheet_rate,Engineered signal for f5_away_clean_sheet_rate,Chronological Match Buffer / Adaptive State,Transformed f5_away_clean_sheet_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_clean_sheet_diff,Engineered signal for f5_clean_sheet_diff,Chronological Match Buffer / Adaptive State,Transformed f5_clean_sheet_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_home_fts_rate,Engineered signal for f5_home_fts_rate,Chronological Match Buffer / Adaptive State,Transformed f5_home_fts_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_away_fts_rate,Engineered signal for f5_away_fts_rate,Chronological Match Buffer / Adaptive State,Transformed f5_away_fts_rate function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f5_blowout_potential,Engineered signal for f5_blowout_potential,Chronological Match Buffer / Adaptive State,Transformed f5_blowout_potential function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F5
f6_home_congestion_14d,Engineered signal for f6_home_congestion_14d,Chronological Match Buffer / Adaptive State,Transformed f6_home_congestion_14d function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f6_away_congestion_14d,Engineered signal for f6_away_congestion_14d,Chronological Match Buffer / Adaptive State,Transformed f6_away_congestion_14d function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f6_congestion_diff,Engineered signal for f6_congestion_diff,Chronological Match Buffer / Adaptive State,Transformed f6_congestion_diff function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f6_competition_weight,Engineered signal for f6_competition_weight,Chronological Match Buffer / Adaptive State,Transformed f6_competition_weight function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f6_month_cos,Engineered signal for f6_month_cos,Chronological Match Buffer / Adaptive State,Transformed f6_month_cos function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f6_month_sin,Engineered signal for f6_month_sin,Chronological Match Buffer / Adaptive State,Transformed f6_month_sin function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F6
f7_age_balance_proxy,Engineered signal for f7_age_balance_proxy,Chronological Match Buffer / Adaptive State,Transformed f7_age_balance_proxy function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F7
f7_squad_experience_proxy,Engineered signal for f7_squad_experience_proxy,Chronological Match Buffer / Adaptive State,Transformed f7_squad_experience_proxy function,YES,NO,Calculated strictly using historical matches prior to current kickoff timestamp,F7
