feature_name,category,source,temporal_availability,leakage_risk
home_loss_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gf_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ga_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_gd_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_win_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_draw_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_loss_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_pts_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gf_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_ga_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_opp_adj_gd_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gf_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_ga_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gd_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_pts_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gf_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_ga_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gd_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_pts_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gf_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_ga_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gd_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_pts_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gf_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_ga_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_gd_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
home_ewma_pts_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_8,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_15,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gf_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ga_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_gd_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_win_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_draw_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_loss_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_pts_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gf_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_ga_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_opp_adj_gd_30,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gf_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_ga_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gd_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_pts_0.1,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gf_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_ga_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gd_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_pts_0.2,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gf_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_ga_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gd_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_pts_0.3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gf_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_ga_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_gd_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
away_ewma_pts_0.5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_pts_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_opp_gd_3,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_pts_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_opp_gd_5,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_pts_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_opp_gd_10,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_pts_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
diff_opp_gd_20,Rolling Form & EWMA,Chronological Match History,Strictly Pre-Match,None (Verified)
h2h_matches,Head-to-Head,Rolling H2H Buffer,Strictly Pre-Match,None (Verified)
h2h_win_rate_home,Head-to-Head,Rolling H2H Buffer,Strictly Pre-Match,None (Verified)
h2h_draw_rate,Head-to-Head,Rolling H2H Buffer,Strictly Pre-Match,None (Verified)
h2h_gd_home,Head-to-Head,Rolling H2H Buffer,Strictly Pre-Match,None (Verified)
