scenario,match_step,score,p_win_classic,p_win_fixed5,p_win_adaptive,rating_classic,rating_fixed5,rating_adaptive,delta_classic,delta_fixed5,delta_adaptive,consistency,surprise,adaptive_cap
Scenario_A_Baseline,10,2-0,0.9309801202667156,0.9309801202667156,0.9309801202667156,2028.4779575002938,2028.4779575002938,2028.4779575002938,2.484715670398238,2.484715670398238,2.484715670398238,1.0,0.06901987973328438,16.276079518933138
Scenario_B_Isolated_Shock,0,Initial,0.9090909090909091,0.9090909090909091,0.9090909090909091,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,4.0
Scenario_B_Isolated_Shock,1,2-0,0.9090909090909091,0.9090909090909091,0.9090909090909091,2003.2727272727273,2003.2727272727273,2003.2727272727273,3.272727272727274,3.272727272727274,3.272727272727274,0.0,0.0,4.0
Scenario_B_Isolated_Shock,2,2-0,0.9121572214660395,0.9121572214660395,0.9121572214660395,2006.4350672999499,2006.4350672999499,2006.4350672999499,3.162340027222578,3.162340027222578,3.162340027222578,1.0,0.0878427785339605,16.35137111413584
Scenario_B_Isolated_Shock,3,2-0,0.9150310064363951,0.9150310064363951,0.9150310064363951,2009.4939510682398,2009.4939510682398,2009.4939510682398,3.0588837682897756,3.0588837682897756,3.0588837682897756,1.0,0.08496899356360488,16.33987597425442
Scenario_B_Isolated_Shock,4,2-0,0.9177293609124818,0.9177293609124818,0.9177293609124818,2012.4556940753905,2012.4556940753905,2012.4556940753905,2.961743007150655,2.961743007150655,2.961743007150655,1.0,0.0822706390875182,16.329082556350073
Scenario_B_Isolated_Shock,5,0-1,0.9202674606486595,0.9202674606486595,0.9202674606486595,1990.3692750198227,1992.4556940753905,1996.1367639179853,-22.086419055567827,-20.0,-16.31893015740536,1.0,0.0797325393513405,16.31893015740536
Scenario_B_Isolated_Shock,6,2-0,0.8995023456893857,0.9016530316465695,0.9053476188083373,1993.987190575005,1995.996184936114,1999.544249640885,3.617915555182115,3.5404908607234975,3.407485722899859,0.460046676439649,0.9053476188083373,13.141950592509138
Scenario_B_Isolated_Shock,7,2-0,0.9032055121048133,0.9052088352846769,0.9086563392707545,1997.4717921392316,1999.4086668658658,2002.8326214271378,3.4846015642267227,3.4124819297516322,3.2883717862528377,0.3598849158340279,0.09134366072924549,8.683993632925318
Scenario_B_Isolated_Shock,8,2-0,0.9066565511294631,0.908526697391174,0.9117503796572872,2000.832156298571,2002.7017057597836,2006.0096077594756,3.360364159339329,3.293038893917737,3.17698633233766,0.2753567714372921,0.08824962034271278,7.657279738618356
Scenario_B_Isolated_Shock,9,2-0,0.9098795932310181,0.911629030814329,0.9146493934305104,2004.0764909422542,2005.8830606504678,2009.0822295959772,3.244334643683349,3.181354890684156,3.0726218365016242,0.2775994087381684,0.08535060656948956,7.672595331135979
Scenario_B_Isolated_Shock,10,2-0,0.9128958626328257,0.9145355883764201,0.917370762233089,2007.2122398874724,2008.9597794689166,2012.056882155586,3.1357489452182734,3.0767188184488754,2.974652559608796,0.2797120810695807,0.082629237766911,7.687061923902611
Scenario_C_Transient_Slump,0,Initial,0.9090909090909091,0.9090909090909091,0.9090909090909091,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,4.0
Scenario_C_Transient_Slump,1,2-0,0.9090909090909091,0.9090909090909091,0.9090909090909091,2003.2727272727273,2003.2727272727273,2003.2727272727273,3.272727272727274,3.272727272727274,3.272727272727274,0.0,0.0,4.0
Scenario_C_Transient_Slump,2,2-0,0.9121572214660395,0.9121572214660395,0.9121572214660395,2006.4350672999499,2006.4350672999499,2006.4350672999499,3.162340027222578,3.162340027222578,3.162340027222578,1.0,0.0878427785339605,16.35137111413584
Scenario_C_Transient_Slump,3,0-1,0.9150310064363951,0.9150310064363951,0.9150310064363951,1984.4743231454763,1986.4350672999499,1990.0951913256954,-21.96074415447348,-20.0,-16.33987597425442,1.0,0.08496899356360488,16.33987597425442
Scenario_C_Transient_Slump,4,0-1,0.8931987159106586,0.8953331124274494,0.8992167349145325,1963.0375539636204,1966.4350672999499,1974.3671417758856,-21.436769181855805,-20.0,-15.728049549809779,0.6775985508459708,0.8992167349145325,15.728049549809779
Scenario_C_Transient_Slump,5,0-1,0.867270673342211,0.8717089992210988,0.8815797684263457,1942.2230578034073,1946.4350672999499,1956.963808452438,-20.814496160213064,-20.0,-17.403333323447562,0.8230845208118482,0.8815797684263457,17.403333323447562
Scenario_C_Transient_Slump,6,2-0,0.8371813165975728,0.8436836831955108,0.8590125469536252,1948.0845304058946,1952.0624547049115,1962.0393567621074,5.86147260248738,5.6273874049616115,5.075548309669494,0.8771169076743212,0.8590125469536252,17.961453079906356
Scenario_C_Transient_Slump,7,2-0,0.846171818753282,0.8520390166578514,0.8659421912169757,1953.6223449307765,1957.3890501052288,1966.8654378782962,5.537814524881849,5.326595400317348,4.826081116188876,0.7917183247375605,0.1340578087830243,14.036851131982823
Scenario_C_Transient_Slump,8,2-0,0.8542887847571418,0.859604432768078,0.8722620894358905,1958.8679486795195,1962.443290525578,1971.4640026586042,5.245603748742896,5.054240420349194,4.598564780307944,0.7172748158589847,0.12773791056410955,13.118249432564255
Scenario_C_Transient_Slump,9,2-0,0.8616467100802325,0.8664811277576645,0.8780457026269667,1963.848667116631,1967.2499699263021,1975.8543573640334,4.980718437111629,4.806679400724078,4.3903547054292,0.6984302530654479,0.12195429737303332,12.86898022627751
Scenario_C_Transient_Slump,10,2-0,0.868341942501172,0.8727545474245302,0.8833556269896589,1968.5883571865888,1971.830806219019,1980.0535547924057,4.739690069957807,4.5808362927169135,4.1991974283722815,0.6812981074076379,0.11664437301034114,12.64215478093302
Scenario_D_Structural_Decline,0,Initial,0.9090909090909091,0.9090909090909091,0.9090909090909091,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,4.0
Scenario_D_Structural_Decline,1,0-1,0.9090909090909091,0.9090909090909091,0.9090909090909091,1978.1818181818182,1980.0,1996.0,-21.818181818181817,-20.0,-4.0,0.0,0.0,4.0
Scenario_D_Structural_Decline,2,0-1,0.8860883980858348,0.8881842302218831,0.9052126040268039,1956.9156966277583,1960.0,1976.3791495838927,-21.266121554060035,-20.0,-19.620850416107217,1.0,0.9052126040268039,19.620850416107217
Scenario_D_Structural_Decline,3,0-1,0.8589454498374325,0.8631931113967899,0.8839767339392876,1936.30100583166,1940.0,1956.8432426481356,-20.61469079609838,-20.0,-19.53590693575715,1.0,0.8839767339392876,19.53590693575715
Scenario_D_Structural_Decline,4,0-1,0.8276728583361848,0.8336624691834381,0.8588443546106741,1916.4368572315916,1920.0,1937.407865229693,-19.864148600068432,-20.0,-19.435377418442698,1.0,0.8588443546106741,19.435377418442698
Scenario_D_Structural_Decline,5,0-1,0.7925768986041846,0.7992399910868982,0.8294828435720982,1897.4150116650912,1900.8182402139144,1918.0899338554045,-19.02184556650043,-19.181759786085557,-19.317931374288392,1.0,0.8294828435720982,19.317931374288392
Scenario_D_Structural_Decline,6,2-0,0.7542727332188968,0.7614622256464672,0.7956882755018452,1906.261193269211,1909.4056000906414,1925.445155937338,8.846181604119717,8.587359876727183,7.355222081933574,1.0,0.7956882755018452,19.182753102007382
Scenario_D_Structural_Decline,7,2-0,0.7726573273958177,0.7789535436906458,0.809110493935664,1914.4455294829615,1917.3632725177781,1932.3171781556541,8.184336213750562,7.95767242713675,6.872022218316095,0.9144778347057673,0.19088950606433597,15.737292040726551
Scenario_D_Structural_Decline,8,2-0,0.7887826068835967,0.7943248634986181,0.8210324030812874,1922.049355635152,1924.767577431828,1938.7600116447277,7.6038261521905195,7.404304914049749,6.442833489073652,0.8406839668377661,0.17896759691871256,14.804077989728043
Scenario_D_Structural_Decline,9,2-0,0.8029990744649567,0.8079027315724101,0.8316733994000274,1929.1413889544137,1931.6830790952213,1944.8197692663266,7.09203331926156,6.915501663393236,6.059757621599014,0.7244447173825646,0.16832660059997262,13.366643010990664
Scenario_D_Structural_Decline,10,2-0,0.8155967601180768,0.819957189850655,0.8412154033869425,1935.779905590163,1938.1646202605978,1950.5360147443967,6.638516635749236,6.481541165376419,5.716245478070071,0.5617907227827192,0.15878459661305755,11.37662705984486
