team,group,elo,base_attack,base_defence,group_qual_pct,round_of_32_pct,round_of_16_pct,quarter_final_pct,semi_final_pct,final_pct,champion_pct,third_place_pct,group_exit_pct,avg_group_points,avg_goals_scored,avg_goals_conceded,avg_goal_diff,expected_finish_position
Canada,Group B,1795,62.3,72.72,70.82,70.82,35.29,17.23,8.53,4.2,1.62,2.2,29.18,4.28,5.3,5.04,0.26,22.6
Croatia,Group L,1940,60.56,76.29,67.66,67.66,31.88,15.46,7.17,3.31,1.57,1.75,32.34,4.05,4.78,4.85,-0.07,23.6
Ecuador,Group E,1870,58.88,73.19,65.71,65.71,31.29,14.82,6.96,3.19,1.47,1.67,34.29,3.94,4.71,4.94,-0.23,24.0
Algeria,Group J,1760,61.48,72.91,64.82,64.82,33.54,15.68,7.21,3.02,1.43,2.18,35.18,3.89,4.86,5.12,-0.26,23.9
Scotland,Group C,1720,57.77,72.38,65.79,65.79,30.85,14.19,6.44,2.91,1.36,1.68,34.21,3.91,4.74,5.08,-0.34,24.2
South Korea,Group A,1800,60.15,71.24,67.08,67.08,31.56,14.35,6.55,2.95,1.34,1.63,32.92,4.0,4.85,5.09,-0.24,23.9
Egypt,Group G,1730,59.16,71.84,69.63,69.63,33.02,14.5,6.45,2.83,1.3,1.81,30.37,4.15,4.95,4.98,-0.03,23.3
Austria,Group J,1830,55.3,73.09,63.29,63.29,30.85,14.17,6.26,2.63,1.23,1.84,36.71,3.83,4.54,4.94,-0.41,24.6
IR Iran,Group G,1820,59.77,72.67,67.52,67.52,31.36,13.48,5.76,2.39,1.12,1.64,32.48,4.05,4.91,5.08,-0.17,23.9
Panama,Group L,1680,57.36,72.35,59.46,59.46,26.53,12.13,5.28,2.2,1.0,1.48,40.54,3.61,4.2,4.94,-0.74,25.8
Qatar,Group B,1600,58.68,70.11,61.07,61.07,27.28,12.24,5.09,2.04,0.89,1.21,38.93,3.7,4.48,5.16,-0.68,25.5
Paraguay,Group D,1725,57.65,69.67,61.33,61.33,27.28,11.9,4.96,1.99,0.86,1.31,38.67,3.69,4.38,5.11,-0.72,25.4
Congo DR,Group K,1670,60.35,67.35,59.5,59.5,26.02,10.82,4.59,1.91,0.83,1.09,40.5,3.58,4.4,5.3,-0.9,25.9
Ghana,Group L,1690,59.34,68.52,56.13,56.13,23.41,9.83,4.28,1.72,0.76,1.12,43.87,3.46,4.07,5.15,-1.08,26.9
Jordan,Group J,1610,58.45,69.07,56.79,56.79,25.9,11.14,4.89,2.06,0.75,1.12,43.21,3.48,4.21,5.2,-0.98,26.4
Bosnia and Herzegovina,Group B,1645,60.94,69.96,60.29,60.29,25.79,11.33,4.46,1.85,0.73,1.13,39.71,3.65,4.32,5.12,-0.8,25.9
Saudi Arabia,Group H,1660,58.46,69.91,57.81,57.81,25.1,11.15,4.43,1.72,0.71,1.01,42.19,3.5,4.18,5.19,-1.01,26.3
Iraq,Group I,1630,58.8,69.44,51.66,51.66,22.19,9.85,4.16,1.67,0.69,0.97,48.34,3.2,4.01,5.43,-1.42,27.7
Tunisia,Group F,1710,54.78,69.02,50.68,50.68,21.02,8.64,3.75,1.63,0.58,0.92,49.32,3.2,3.78,5.22,-1.44,28.1
Cabo Verde,Group H,1640,52.71,67.99,49.48,49.48,19.28,8.13,3.27,1.12,0.51,0.85,50.52,3.1,3.64,5.25,-1.61,28.5
Australia,Group D,1790,57.58,70.24,52.28,52.28,21.8,8.64,3.37,1.3,0.38,0.91,47.72,3.27,3.81,5.15,-1.34,27.8
South Africa,Group A,1620,56.54,65.19,50.82,50.82,20.01,7.56,2.86,0.89,0.34,0.71,49.18,3.21,3.88,5.42,-1.54,28.3
New Zealand,Group G,1510,52.67,64.82,48.13,48.13,16.79,5.75,2.04,0.62,0.31,0.45,51.87,3.05,3.57,5.4,-1.83,29.3
Haiti,Group C,1530,57.13,65.46,47.07,47.07,17.73,6.56,2.45,0.93,0.27,0.53,52.93,3.0,3.71,5.6,-1.88,29.2
Uzbekistan,Group K,1650,54.38,66.81,47.6,47.6,18.45,6.32,2.21,0.8,0.27,0.52,52.4,3.01,3.52,5.37,-1.86,29.1
Curaçao,Group E,1520,53.1,64.15,45.54,45.54,16.95,6.12,2.32,0.73,0.22,0.62,54.46,2.92,3.43,5.39,-1.96,29.6
