team,elo,top_5_players,avg_xi_ovr,top_5_ovr,attack_rating,midfield_rating,defence_rating,gk_rating,chemistry
Côte d'Ivoire,1750,"Yan Diomande (90), Amad Diallo (87), Ousmane Diomande (86), Obite Evan Ndicka (86), Bazoumana Toure (86)",83.0,87.0,63.56,81.71,75.07,75.52,0.149
Czechia,1740,"Ladislav Krejci (84), Patrik Schick (84), Pavel Sulc (83), Tomáš Soucek (82), Lukáš Hornicek (82)",80.91,83.0,61.79,79.16,72.0,82.15,0.193
Egypt,1730,"Hamed Mahrous Mohamed Salah (86), Abdelaziz Moustafa Ramy Rabia (81), Ahmed Ibrahim Trezeguet (81), Mohamed Aboelfetouh Ahmed Fatouh (81), Fathy Abdelhalim Hamdy Fathy (81)",79.45,82.0,59.16,79.02,71.84,79.39,0.215
Paraguay,1725,"Miguel Angel Almiron (80), Matias Galarza (79), Omar Federico Alderete (78), Júnior Osmar Ignacio Alonso (78), Ramón Sosa (78)",77.73,78.6,57.65,77.74,69.67,77.38,0.149
Scotland,1720,"Aaron Buchanan Hickey (82), Lewis Ferguson (82), Andrew Henry Robertson (81), Mc (81), Mc (80)",78.82,81.2,57.77,80.4,72.38,70.7,0.149
Tunisia,1710,"Hannibal Mejbri (83), Ali Abdi (80), Montassar Omar Talbi (80), Ellyes Joris Skhiri (79), Ismael Seifallah Gharbi (77)",76.18,79.8,54.78,78.8,69.02,65.78,0.149
Ghana,1690,"Antoine Serlom Semenyo (90), Kamal Deen Sulemana (83), Caleb Marfo Yirenkyi (80), Abdul Fatawu Fatawu (79), Kojo Peprah Oppong (79)",78.45,82.2,59.34,80.97,68.52,71.04,0.182
Panama,1680,"Luis Ricardo Mejia (82), Alberto Abdiel Quintero (82), Fidel Escobar (81), Jiovany Javier Ramos (81), Cesar Augusto Yanis (81)",79.45,81.4,57.36,79.99,72.35,80.63,0.171
Congo DR,1670,"Noah Junior Sadiki (86), Yoane Wissa (85), Ngal’ayel Mukau (82), Simon Bokote Banza (80), Gaël Roméo Kakuta (78)",78.64,82.2,60.35,80.07,67.35,79.95,0.149
Saudi Arabia,1660,"Mohammed Salem Aldawsari (80), Essa Nasser Aldawsari (79), Khalid Saleh (79), Abdulrahman Abdullah Alhamddan (79), Mohammed Hassan Altambakti (78)",77.36,79.0,58.46,76.61,69.91,78.29,0.271
Uzbekistan,1650,"Abdukodir Khusanov (88), Eldor Shomurodov (81), Abbosbek Fayzullaev (79), Otabek Shukurov (73), Oston Urunov (73)",74.09,78.8,54.38,74.35,66.81,69.22,0.171
Bosnia and Herzegovina,1645,"Tarik Muharemovic (84), Ermedin Demirovic (84), Kerim Alajbegovic (83), Amar Dedic (82), Esmir Bajraktarevic (79)",78.09,82.4,60.94,74.88,69.96,80.19,0.149
Cabo Verde,1640,"José Vozinha (80), Paulo Joao Paulo (79), Gregory Jamiro Monteiro (79), Johnson Willy (79), Ianique Stopira (77)",76.27,78.8,52.71,76.74,67.99,75.84,0.158
Iraq,1630,"Hussein Ghadhban Aymen (81), Fouad Aboud Amir Alammari (80), Wali Faeq Youssef Amyn (79), Ali Kadhim Mohanad Ali (78), Hasan Maknazi Ahmed Maknazi (78)",77.27,79.2,58.8,77.4,69.44,74.07,0.171
South Africa,1620,"Lyle Brent Foster (79), Teboho Mokoena (75), Mbekezeli Mfanufikile Mbokazi (75), Oswin Reagan Appollis (74), Relebohile Mofokeng (74)",73.45,75.4,56.54,72.69,65.19,78.48,0.326
Jordan,1610,"Mohammad Mousa Mousa Altamari (80), Iyad Ali Ali Olwan (78), Ayed Fadel Rajaei Ayed (78), Mohammad Sami Ibrahim (78), Majed Jamil Mohammad Abualnadi (78)",77.36,78.4,58.45,77.53,69.07,74.55,0.16
Qatar,1600,"Miguel Pedro (80), Karim Karim Boudiaf (80), Elamin Homam (80), Aissa Meshaal Barsham (80), Omer Assim Madibo (80)",77.64,80.0,58.68,75.58,70.11,79.98,0.204
Haiti,1530,"Jean Ricner Bellegarde (82), Wilson Isidor (82), Hannes Piterson Delcroix (76), Don Deedson Deedson (75), Danley Jean Jacques (75)",72.36,78.0,57.13,71.79,65.46,64.62,0.149
Curaçao,1520,"Tahith Jose Girigorio Djorkaef Chong (77), Trevor Irving Doornbusch (77), Jainel Archenir Martha (76), Armando Maria Obispo (75), Juniffer Naigelino Hansen (74)",72.91,75.8,53.1,74.76,64.15,79.14,0.149
New Zealand,1510,"Christopher Grant Wood (79), Joe Zen Robert Bell (76), Mc (76), Tyler Grant Bindon (75), Marko Seufatu Nikola Stamenic (75)",72.09,76.2,52.67,75.12,64.82,67.46,0.182
